,source,target,weight
1276,31,22,17
1277,31,6,16
1278,31,65,15
1279,31,66,14
1280,31,35,12
1281,31,69,11
1282,31,70,10
1283,31,71,9
1284,31,25,8
1285,31,73,7
1286,31,11,6
1287,31,75,5
1288,31,33,4
1289,31,77,3
1290,31,78,2
1291,31,30,1
1292,35,60,20
1293,35,61,19
1294,35,29,18
1295,35,22,17
1296,35,6,16
1297,35,65,15
1298,35,66,14
1299,35,31,13
1300,35,69,11
1301,35,70,10
1302,35,71,9
1303,35,25,8
1304,35,73,7
1305,35,11,6
1306,35,75,5
1307,35,33,4
1308,35,77,3
1309,35,78,2
1310,35,30,1
1311,69,60,20
1312,69,61,19
1313,69,29,18
1314,69,22,17
1315,69,6,16
1316,69,65,15
1317,69,66,14
1318,69,31,13
1319,69,35,12
1320,69,70,10
1321,69,71,9
1322,69,25,8
1323,69,73,7
1324,69,11,6
1325,69,75,5
1326,69,33,4
1327,69,77,3
1328,69,78,2
1329,69,30,1
1330,70,60,20
1331,70,61,19
1332,70,29,18
1333,70,22,17
1334,70,6,16
1335,70,65,15
1336,70,66,14
1337,70,31,13
1338,70,35,12
1339,70,69,11
1340,70,71,9
1341,70,25,8
1342,70,73,7
1343,70,11,6
1344,70,75,5
1345,70,33,4
1346,70,77,3
1347,70,78,2
1348,70,30,1
1349,71,60,20
1350,71,61,19
1351,71,29,18
1352,71,22,17
1353,71,6,16
1354,71,65,15
1355,71,66,14
1356,71,31,13
1357,71,35,12
1358,71,69,11
1359,71,70,10
1360,71,25,8
1361,71,73,7
1362,71,11,6
1363,71,75,5
1364,71,33,4
1365,71,77,3
1366,71,78,2
1367,71,30,1
1368,25,60,20
1369,25,61,19
1370,25,29,18
1371,25,22,17
1372,25,6,16
1373,25,65,15
1374,25,66,14
1375,25,31,13
1376,25,35,12
1377,25,69,11
1378,25,70,10
1379,25,71,9
1380,25,73,7
1381,25,11,6
1382,25,75,5
1383,25,33,4
1384,25,77,3
1385,25,78,2
1386,25,30,1
1387,73,60,20
1388,73,61,19
1389,73,29,18
1390,73,22,17
1391,73,6,16
1392,73,65,15
1393,73,66,14
1394,73,31,13
1395,73,35,12
